Date,Price,Open,High,Low,Vol.,Change %
01/07/2021,6475.0,6450.0,6525.0,6425.0,40060000.0,0.78%
01/06/2021,6425.0,6425.0,6525.0,6275.0,43550000.0,0.00%
01/05/2021,6425.0,6550.0,6550.0,6400.0,34960000.0,-1.15%
01/04/2021,6500.0,6350.0,6525.0,6225.0,30530000.0,2.77%
12/30/2020,6325.0,6525.0,6525.0,6325.0,44470000.0,-1.56%
12/29/2020,6425.0,6575.0,6600.0,6400.0,28710000.0,-1.53%
12/28/2020,6525.0,6500.0,6575.0,6300.0,37760000.0,2.76%
12/23/2020,6350.0,6500.0,6600.0,6200.0,55020000.0,-0.78%
12/22/2020,6400.0,6575.0,6625.0,6350.0,82960000.0,-4.48%
12/21/2020,6700.0,6775.0,6800.0,6675.0,41590000.0,0.00%
12/18/2020,6700.0,6800.0,6825.0,6700.0,71400000.0,-2.55%
12/17/2020,6875.0,6775.0,6875.0,6775.0,54980000.0,1.48%
12/16/2020,6775.0,6800.0,6825.0,6725.0,48680000.0,1.12%
12/15/2020,6700.0,6700.0,6725.0,6600.0,67830000.0,-0.37%
12/14/2020,6725.0,6725.0,6800.0,6675.0,47320000.0,-0.74%
12/11/2020,6775.0,6850.0,6875.0,6700.0,47270000.0,-0.37%
12/10/2020,6800.0,6775.0,6850.0,6725.0,93920000.0,1.87%
12/08/2020,6675.0,6675.0,6725.0,6600.0,35180000.0,-0.37%
12/07/2020,6700.0,6675.0,6750.0,6625.0,66790000.00000001,1.52%
12/04/2020,6600.0,6500.0,6600.0,6425.0,37490000.0,0.38%
12/03/2020,6575.0,6650.0,6675.0,6525.0,77670000.0,-1.13%
12/02/2020,6650.0,6525.0,6650.0,6475.0,57360000.0,1.92%
12/01/2020,6525.0,6325.0,6625.0,6325.0,88280000.0,3.16%
11/30/2020,6325.0,6550.0,6625.0,6225.0,153950000.0,-4.89%
11/27/2020,6650.0,6775.0,6800.0,6625.0,62170000.0,-1.12%
11/26/2020,6725.0,6600.0,6725.0,6550.0,66140000.0,3.07%
11/25/2020,6525.0,6500.0,6650.0,6500.0,98850000.0,1.56%
11/24/2020,6425.0,6450.0,6500.0,6375.0,70460000.0,0.39%
11/23/2020,6400.0,6300.0,6425.0,6275.0,53450000.0,1.59%
11/20/2020,6300.0,6275.0,6350.0,6250.0,50290000.0,-0.40%
11/19/2020,6325.0,6250.0,6350.0,6200.0,47400000.0,-0.39%
11/18/2020,6350.0,6150.0,6350.0,6150.0,62470000.0,1.60%
11/17/2020,6250.0,6275.0,6375.0,6200.0,53130000.0,0.81%
11/16/2020,6200.0,6300.0,6450.0,6150.0,66959999.99999999,-0.80%
11/13/2020,6250.0,6100.0,6250.0,6075.0,61020000.0,1.21%
11/12/2020,6175.0,6375.0,6400.0,6100.0,68080000.0,-3.14%
11/11/2020,6375.0,6425.0,6500.0,6350.0,83250000.0,0.00%
11/10/2020,6375.0,6400.0,6525.0,6300.0,124790000.0,3.66%
11/09/2020,6150.0,6250.0,6300.0,6050.0,61330000.0,1.65%
11/06/2020,6050.0,5975.0,6100.0,5925.0,82110000.0,1.26%
11/05/2020,5975.0,5875.0,6000.0,5825.0,87940000.0,4.82%
11/04/2020,5700.0,5950.0,6025.0,5700.0,76410000.0,-5.00%
11/03/2020,6000.0,5975.0,6000.0,5900.0,37980000.0,0.42%
11/02/2020,5975.0,5675.0,6025.0,5600.0,108430000.0,3.46%
10/27/2020,5775.0,5750.0,5850.0,5700.0,56350000.0,0.00%
10/26/2020,5775.0,5625.0,5850.0,5625.0,94290000.0,4.05%
10/23/2020,5550.0,5525.0,5575.0,5475.0,32950000.000000004,1.83%
10/22/2020,5450.0,5500.0,5550.0,5400.0,69350000.0,-1.36%
10/21/2020,5525.0,5675.0,5725.0,5475.0,56950000.0,-2.21%
10/20/2020,5650.0,5725.0,5750.0,5600.0,38610000.0,-0.88%
10/19/2020,5700.0,5600.0,5725.0,5575.0,29470000.0,2.24%
10/16/2020,5575.0,5600.0,5650.0,5450.0,33910000.0,-0.45%
